,name,city,Check_in_date,Check_out_date,pool,gym,spa,free_parking,bathtub,restuarant,Airport_transfer,Bar,Kitchen,Connecting_rooms_available,Internet_access,Pet_friendly,No of Nights,City Center,price
4045,The Ayali Rishikesh,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,6,5.3,19300
4046,Hotel Peepal Tree,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,yes,no,no,no,no,yes,6,6.6,16800
4047,Hotel SK International,Rishikesh,2021-02-12,2021-02-18,no,no,no,no,no,yes,no,no,no,no,no,no,6,7.0,13200
4048,Hotel brijwasi palace,Rishikesh,2021-02-12,2021-02-18,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,6,5.1,6000
4049,Rishikesh Sadan,Rishikesh,2021-02-12,2021-02-18,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,6,6.5,7016
4050,Hotel Vedas Tapovan,Rishikesh,2021-02-12,2021-02-18,no,no,no,no,no,yes,no,no,no,no,no,no,6,7.1,7776
4051,Kamakshi Residency by Royal Collection,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,6,7.1,16066
4052,Hotel Gharonda,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,no,6,1.9,10276
4053,RishikeshStay,Rishikesh,2021-02-12,2021-02-18,no,no,no,no,no,no,yes,no,no,no,no,no,6,6.8,4125
4054,Hotel The Raja Palace,Rishikesh,2021-02-12,2021-02-18,no,no,yes,yes,no,no,no,no,no,yes,no,no,6,6.9,7830
4055,"Aloha On The Ganges, Rishikesh ( by Leisure Hotels )",Rishikesh,2021-02-12,2021-02-18,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,6,7.3,78200
4056,Hotel Aaravam Ganga,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,no,6,7.0,15741
4057,Hotel Tapovan Cottage,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,yes,no,no,no,no,no,6,6.6,8100
4058,Hotel Tulsi,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,no,6,3.6,21000
4059,Welcome Home Apartments,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,no,no,no,6,2.5,60000
4060,Raj Resort,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,yes,no,no,6,7.1,12600
4061,Hotel Natraj,Rishikesh,2021-02-12,2021-02-18,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,6,3.4,41994
4062,The Grand Alova - By The Ganges,Rishikesh,2021-02-12,2021-02-18,no,no,yes,yes,no,yes,no,no,no,no,no,no,6,7.2,35994
4063,Palm Bliss Resorts,Rishikesh,2021-02-12,2021-02-18,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,5.2,64014
4064,Maa Ganga Guest House,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,yes,6,7.0,7156
4065,UbEx Home Hermitage Rishikesh,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,no,6,7.0,9553
4066,Hotel Tapovan Retreat,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,no,6,6.7,5394
4067,Hotel City Ganga by Rudra Palace,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,yes,no,no,no,no,yes,6,6.4,5994
4068,Flying Penguin,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,no,no,no,6,7.0,8037
4069,Mango Tree Guest House,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,no,no,no,6,7.1,8100
4070,Backpacker Panda Rishikesh,Rishikesh,2021-02-12,2021-02-18,yes,no,yes,yes,no,no,no,no,no,no,no,no,6,6.9,10795
4071,Hipostel,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,no,no,no,no,no,no,6,7.0,3000
4072,goStops Rishikesh,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,no,no,no,6,7.1,30313
4073,Sonu Guest House,Rishikesh,2021-02-12,2021-02-18,no,no,no,no,no,no,yes,no,no,no,yes,no,6,7.0,3780
4074,Bunk Stay Rishikesh,Rishikesh,2021-02-12,2021-02-18,no,no,no,yes,no,yes,yes,no,no,no,no,no,6,7.2,8899
4075,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,5.4,9690
4076,Courtyard by Marriott Chennai,Chennai,2021-02-12,2021-02-14,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,2,8.3,5500
4077,Park Hyatt Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,5.8,7990
4078,Hotel Savera,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,9.6,5500
4079,Taj Club House,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,10.0,6700
4080,Hilton Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,3.8,7500
4081,"Aloft Chennai, OMR - IT Expressway",Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,16.0,3600
4082,The Residency Towers,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,7.7,8190
4083,Hotel Saravanaa Boarding and Lodging,Chennai,2021-02-12,2021-02-14,no,no,yes,yes,no,no,no,no,no,no,no,no,2,5.6,1998
4084,Nexstay Star Holiday Inn,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,17.0,2198
4085,FEATHERS- A Radha Hotel,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,1.2,8998
4086,"The Raintree, Anna Salai",Chennai,2021-02-12,2021-02-14,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,2,7.7,7998
4087,R Hotel - Manapakkam,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,1.6,2400
4089,Hotel SMA Grand Inn,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,12.0,3800
4090,Crowne Plaza Chennai Adyar Park,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,8.3,6500
4091,The Park Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,8.7,5240
4092,GRAND OLIVER,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,12.0,3200
4093,Kolam Serviced Apartments - Alwarpet,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,8.1,4463
4094,Holiday Inn Express Chennai OMR Thoraipakkam,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,2,13.0,2998
4095,Value Hotel,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,7.3,2232
4096,The Metroplace Hotels,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,2,9.3,3394
4097,Ramada by Wyndham Chennai Egmore,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,11.0,8298
4098,ibis Chennai OMR Hotel,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,15.0,3798
4099,Novotel Chennai Chamiers Road Hotel,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,2,7.6,5198
4100,Turyaa Chennai- OMR IT Expressway,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,11.0,4298
4101,ULO Pearl Corporate Residency,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,8.9,2800
4102,The Leela Palace Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,11.0,15000
4103,Green Park Hotel,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,4.5,7400
4104,Accord Chrome,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,yes,no,no,yes,no,no,2,9.3,5848
4105,"Abu Sarovar Portico, Chennai - Kilpauk",Chennai,2021-02-12,2021-02-14,no,no,yes,yes,no,yes,no,no,no,no,yes,no,2,10.0,5598
4106,The K11 Hotels,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,yes,no,no,yes,no,no,2,6.4,3400
4107,Park Avenue Hotel,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,yes,no,no,no,no,no,2,8.5,4500
4108,Lemon Tree Hotel Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,6.0,5598
4109,S4 Residency,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,yes,no,no,no,no,no,2,10.0,1800
4110,Syening Associates Near Sipcot IT Park,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,no,no,no,no,no,no,2,21.0,2437
4111,Radisson Blu Hotel Chennai City Centre,Chennai,2021-02-12,2021-02-14,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,2,9.9,9598
4112,Hotel Nachiappa Residency,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,10.0,3800
4113,ibis Chennai City Centre Hotel,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,2,9.6,4640
4114,Kolam Elliots Beach,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,11.0,6000
4115,Rithikha Inn Crest,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,4.4,3000
4116,Grand Chennai by GRT Hotels,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,7.8,7700
4117,The Accord Metropolitan,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,7.7,6096
4118,The Belstead Chennai (Near US Consulate),Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,yes,yes,no,no,no,no,2,8.6,5459
4119,The Pride Hotel Chennai,Chennai,2021-02-12,2021-02-14,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,2,9.8,3736
4120,Vivanta Chennai IT Expressway,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,15.0,4400
4121,"Trident, Chennai",Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,4.2,10000
4122,OYO 46738 Egmore Shelters,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,11.0,8539
4124,Maple Tree Hotels,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,no,yes,no,no,no,no,2,5.0,3715
4125,Hotel Pearl International,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,no,yes,yes,no,no,no,no,no,2,12.0,5122
4126,Taj Coromandel,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,8.7,16850
4127,Hyatt Regency Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,8.2,7499
4128,Raaj Residency,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,7.8,2679
4129,Ambassador Pallava,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,10.0,6370
4130,S Hotels Chennai,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,no,yes,no,no,no,no,2,7.1,3868
4131,Olive Serviced Apartments,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,yes,no,no,no,2,10.0,2870
4132,OYO 5890 Eben Service apartments,Chennai,2021-02-12,2021-02-14,no,no,no,yes,yes,no,no,no,no,no,no,no,2,15.0,2560
4133,Taj Connemara,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,10.0,8600
4134,Ramada Plaza by Wyndham Chennai,Chennai,2021-02-12,2021-02-14,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,5.9,8038
4135,Raj Palace,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,yes,yes,no,no,no,no,2,7.2,6000
4136,Hotel Sai Krish Grand,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,yes,yes,no,no,no,no,2,7.6,4000
4137,Sri Sai Park,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,yes,no,no,no,no,no,2,12.0,2600
4138,Saibala Inn,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,2,6.9,3200
4139,ibis Chennai SIPCOT Hotel,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,2,23.0,3120
4140,Novotel Chennai SIPCOT Hotel,Chennai,2021-02-12,2021-02-14,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,23.0,4014
4141,Rentostay Hotel,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,6.0,2571
4142,Hotel Aadithya by TGI,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,yes,no,yes,no,no,no,no,2,4.6,10800
4143,OYO 65719 Sree Ganesh Mahal,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,7.6,9125
4144,V7 Hotel,Chennai,2021-02-12,2021-02-14,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,2,3.1,6460
4145,Spot ON 49012 New Adyar Guest House,Chennai,2021-02-12,2021-02-14,no,no,no,yes,no,no,no,no,no,no,no,no,2,9.5,10075
4146,Hanu Reddy Residences Poes Garden,Chennai,2021-02-12,2021-02-14,no,yes,no,no,no,yes,yes,no,no,no,no,no,2,8.8,5398
4147,"The Elite Grand, Chennai",Chennai,2021-02-12,2021-02-14,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,2,19.0,12000
4148,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,5.4,19665
4149,Courtyard by Marriott Chennai,Chennai,2021-02-12,2021-02-16,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,8.3,11600
4150,Park Hyatt Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,5.8,15980
4151,Taj Club House,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,10.0,14601
4152,Royal Grand Days,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,yes,4,10.0,7200
4153,Hilton Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,3.8,15000
4154,"Aloft Chennai, OMR - IT Expressway",Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,16.0,7200
4155,Hotel Savera,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,9.6,11000
4156,Nexstay Star Holiday Inn,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,17.0,4396
4157,FEATHERS- A Radha Hotel,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,1.2,18596
4158,The Residency Towers,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,7.7,16335
4159,Hotel Saravanaa Boarding and Lodging,Chennai,2021-02-12,2021-02-16,no,no,yes,yes,no,no,no,no,no,no,no,no,4,5.6,3996
4160,R Hotel - Manapakkam,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,1.6,4800
4161,"The Raintree, Anna Salai",Chennai,2021-02-12,2021-02-16,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,4,7.7,15996
4163,Crowne Plaza Chennai Adyar Park,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,8.3,17185
4164,Royal Regency Lifotel by Crossway,Chennai,2021-02-12,2021-02-16,no,no,yes,yes,no,yes,no,no,no,no,no,no,4,12.0,8996
4165,GRAND OLIVER,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,12.0,6400
4166,Kolam Serviced Apartments - Alwarpet,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,8.1,8925
4168,Hotel SMA Grand Inn,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,12.0,7600
4169,ULO Yali Service Apartment,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,11.0,6600
4170,The K11 Hotels,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,yes,no,no,yes,no,no,4,6.4,6800
4171,Holiday Inn Express Chennai OMR Thoraipakkam,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,4,13.0,5182
4172,The Metroplace Hotels,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,4,9.3,7441
4173,"Abu Sarovar Portico, Chennai - Kilpauk",Chennai,2021-02-12,2021-02-16,no,no,yes,yes,no,yes,no,no,no,no,yes,no,4,10.0,11196
4174,Grand Chennai by GRT Hotels,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,7.8,12400
4175,Turyaa Chennai- OMR IT Expressway,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,11.0,10297
4176,Rithikha Inn Crest,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,4.4,6000
4177,E Hotel,Chennai,2021-02-12,2021-02-16,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,10.0,12398
4178,Ramada by Wyndham Chennai Egmore,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,11.0,16796
4179,Zone by the Park ORR Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,9.5,6715
4180,Vivanta Chennai IT Expressway,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,15.0,8360
4181,ibis Chennai OMR Hotel,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,15.0,7446
4182,Hanu Reddy Residences Wallace Garden,Chennai,2021-02-12,2021-02-16,no,no,no,no,no,yes,yes,no,no,no,no,no,4,9.2,14000
4183,S4 Residency,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,yes,no,no,no,no,no,4,10.0,3600
4184,Novotel Chennai Chamiers Road Hotel,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,4,7.6,10715
4185,OYO 46738 Egmore Shelters,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,11.0,17899
4186,Green Park Hotel,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,4.5,14800
4187,Olive Serviced Apartments,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,yes,no,no,no,4,10.0,5740
4188,OYO 5890 Eben Service apartments,Chennai,2021-02-12,2021-02-16,no,no,no,yes,yes,no,no,no,no,no,no,no,4,15.0,5232
4189,The Pride Hotel Chennai,Chennai,2021-02-12,2021-02-16,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,9.8,7596
4190,OYO 65719 Sree Ganesh Mahal,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.6,18871
4191,The Leela Palace Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,11.0,30876
4192,The Belstead Chennai (Near US Consulate),Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,yes,yes,no,no,no,no,4,8.6,12087
4193,ibis Chennai City Centre Hotel,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,4,9.6,9280
4194,Hotel Sakthi Priya,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,no,no,no,no,yes,no,4,11.0,4800
4195,Raaj Residency,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.8,5357
4196,Radisson Blu Hotel Chennai City Centre,Chennai,2021-02-12,2021-02-16,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,4,9.9,19196
4197,Hotel Nachiappa Residency,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,10.0,7600
4198,The Park Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,8.7,12380
4199,Lemon Tree Hotel Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,6.0,11197
4200,Spot ON 49012 New Adyar Guest House,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,9.5,20150
4201,V7 Hotel,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,4,3.1,12920
4202,Accord Chrome,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,yes,no,no,yes,no,no,4,9.3,11690
4203,The Accord Metropolitan,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,7.7,12096
4204,Park Avenue Hotel,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,yes,no,no,no,no,no,4,8.5,9000
4205,"Trident, Chennai",Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,4.2,16500
4206,Taj Coromandel,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,8.7,32750
4207,Hotel Aadithya by TGI,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,4.6,21600
4208,Hotel Pearl International,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,no,yes,yes,no,no,no,no,no,4,12.0,10244
4209,Sri Sai Park,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,yes,no,no,no,no,no,4,12.0,5200
4210,Pebbles,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,7.6,10080
4211,Syening Associates Near Sipcot IT Park,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,no,no,no,no,no,no,4,21.0,4873
4212,Ulo Millionaire Park,Chennai,2021-02-12,2021-02-16,yes,no,no,yes,no,no,no,no,no,no,no,no,4,13.0,36000
4213,S Hotels Chennai,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,no,yes,no,no,no,no,4,7.1,8006
4214,Raj Palace,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,yes,yes,no,no,no,no,4,7.2,12000
4215,Rentostay Hotel,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,6.0,5143
4216,Ramada Plaza by Wyndham Chennai,Chennai,2021-02-12,2021-02-16,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,5.9,13917
4217,Saibala Inn,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,4,6.9,6400
4218,Hotel Saravanaa,Chennai,2021-02-12,2021-02-16,no,yes,yes,yes,no,no,no,no,no,no,no,no,4,5.6,4400
4219,ibis Chennai SIPCOT Hotel,Chennai,2021-02-12,2021-02-16,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,4,23.0,6239
4220,Hotel Sai Krish Grand,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,yes,yes,yes,no,no,no,no,4,7.6,8000
4221,Hotel Apple Residency,Chennai,2021-02-12,2021-02-16,no,no,no,yes,no,no,no,no,no,no,no,no,4,12.0,6796
4222,REGENTA CENTRAL RS - CHENNAI,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,22.0,12848
4223,"The Elite Grand, Chennai",Chennai,2021-02-12,2021-02-16,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,4,19.0,24000
4224,Ambassador Pallava,Chennai,2021-02-12,2021-02-16,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,10.0,12810
4225,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,5.4,29355
4226,Courtyard by Marriott Chennai,Chennai,2021-02-12,2021-02-18,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,6,8.3,17700
4227,Park Hyatt Chennai,Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,6,5.8,23970
4228,The Residency Towers,Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,7.7,21411
4229,Hotel Savera,Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,9.6,16500
4230,"Aloft Chennai, OMR - IT Expressway",Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,16.0,10800
4231,Hilton Chennai,Chennai,2021-02-12,2021-02-18,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,6,3.8,22500
4233,Royal Grand Days,Chennai,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,no,no,yes,6,10.0,10800
4234,Taj Club House,Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,6,10.0,22041
4235,FEATHERS- A Radha Hotel,Chennai,2021-02-12,2021-02-18,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,1.2,28794
4236,Hotel Saravanaa Boarding and Lodging,Chennai,2021-02-12,2021-02-18,no,no,yes,yes,no,no,no,no,no,no,no,no,6,5.6,5994
4237,Nexstay Star Holiday Inn,Chennai,2021-02-12,2021-02-18,no,no,no,yes,no,no,no,no,no,no,no,no,6,17.0,6594
4238,"The Raintree, Anna Salai",Chennai,2021-02-12,2021-02-18,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,6,7.7,23994
4239,The Metroplace Hotels,Chennai,2021-02-12,2021-02-18,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,6,9.3,10835
